idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
0,196483,"1996년 1월 미국천문학회에서 공개된 최종 이미지는 약 3,000개의 개별 은하를 명확히 보여주었다.","1996년 1월 미국천문학회에서 공개된 최종 이미지는 약 3,000개의 개별 은하를 명확히 보여주지 못했다.",못 장형,,,관형절,"1996년 1월 미국천문학회에서 공개되지 않은 최종 이미지는 약 3,000개의 개별 은하를 명확히 보여주었다.",공개된,안 장형,,1996년 1월 미국천문학회에서 공개된 최종 이미지는 약 3000개의 개별 은하를 흐릿하게 보여주었다.,"1996년 1월, 미국천문학회가 공개한 최종 이미지는 개별 은하 약 3천 개를 또렷하게 보여줬다.",
1,155342,대한민국 고등학교 수학 교과목은 2009 개정 교육과정에 따라 중학교 수학 내용을 포함한 기초 수학을 다룬다.,대한민국 고등학교 수학 교과목은 2009 개정 교육과정에 따라 중학교 수학 내용을 포함한 기초 수학을 다루지 않는다.,안 장형,,,부사절,대한민국 고등학교 수학 교과목은 2009 개정 교육과정에 따르지 못하여 중학교 수학 내용을 포함한 기초 수학을 다룬다.,2009 개정 교육과정에 따라,못 장형,,대한민국 고등학교 수학 교과목은 2022 개정 교육과정에 따라 중학교 수학 내용을 포함한 고급 수학을 다룬다.,한국의 고등학교 수학 과목은 2009 개정 교육과정에 근거해 중학교 수학을 포함한 기초 수학을 가르친다.,삭제 후보
2,418534,"기상기술개발원은 지진 기술 개발사업의 기반을 마련하고 신연구자원을 확보하기 위해 설립된 재단법인이며, 서울 마포구 상암IT타워에 위치한다.","기상기술개발원은 지진 기술 개발사업의 기반을 마련하고 신연구자원을 확보하기 위해 설립된 재단법인이 아니거나, 서울 마포구 상암IT타워에 위치하지 않는다.",아니다,안 장형,,명사절,"기상기술개발원은 지진 기술 개발사업의 기반을 마련하지 않거나 신연구자원을 확보하지 않기 위해 설립된 재단법인이며, 서울 마포구 상암IT타워에 위치한다.",마련하고 확보하기,안 장형,안 장형,"기상기술개발원은 지진 기술 개발사업의 기반을 해체하고 신연구자원을 회수하기 위해 설립된 주식회사이며, 대전 유성구 대덕연구단지에 위치한다.",서울 마포구 상암IT타워에 자리한 기상기술개발원은 지진 기술 개발사업의 기반 조성과 신연구자원 확보를 목적으로 설립된 재단법인이다.,
3,372575,"아가메데는 암피트리온과 알크메네 사이에서 태어난 딸이며, 헤라클레스와 이피클레스의 여동생이다.","아가메데는 암피트리온과 알크메네 사이에서 태어난 딸이 아니거나, 헤라클레스의 여동생이 아니거나, 이피클레스의 여동생이 아니다.",아니다,아니다,아니다,대등절 일부,"아가메데는 암피트리온과 알크메네 사이에서 태어난 딸이 아니며, 헤라클레스와 이피클레스의 여동생이다.",태어난 딸이며,아니다,,"아가메데는 암피트리온과 알크메네 사이에서 태어난 아들이며, 헤라클레스와 이피클레스의 형이다.","아가메데는 암피트리온과 알크메네에게서 난 딸로, 헤라클레스와 이피클레스의 여동생이다.",
4,391848,"브로바리는 우크라이나 키이우주 동부에 위치한 도시이고, 2008년 기준 브로바리의 인구는 94,000명이며, 브로바리라는 이름이 우크라이나어로 양조가를 의미한다.","브로바리는 우크라이나 키이우주 동부에 위치한 도시가 아니거나, 2008년 기준 브로바리의 인구는 94,000명이 아니거나, 브로바리라는 이름이 우크라이나어로 양조가를 의미하지 않는다.",아니다,아니다,안 장형,대등절 일부,"브로바리는 우크라이나 키이우주 동부에 위치한 도시이고, 2008년 기준 브로바리의 인구는 94,000명이 아니며, 브로바리라는 이름이 우크라이나어로 양조가를 의미한다.","2008년 기준 브로바리의 인구는 94,000명이며",아니다,,"브로바리는 우크라이나 리비우주 서부에 위치한 도시이고, 2008년 기준 브로바리의 인구는 940,000명이며, 브로바리라는 이름은 양조가란 단어와는 관련이 없다.","브로바리는 키이우주 동부에 있는 우크라이나의 도시로, 2008년 인구가 94,000명이며 우크라이나어로 양조가를 뜻한다.",
5,840556,제2회 전국동시지방선거에서 해남군의회는 지역구의원 14명을 선출했다.,제2회 전국동시지방선거에서 해남군의회는 지역구의원 14명을 선출하지 못했다.,못 장형,,,,,,,,제2회 전국동시지방선거에서 해남군의회가 선출한 지역구의원은 0명이었다.,제2회 전국동시지방선거를 통해 해남군의회 지역구 의원 14명이 배출됐다.,
6,525804,1991년 4월 8일에 태어난 데즈 로프는 미국의 래퍼이자 싱어송라이터이다.,1991년 4월 8일에 태어난 데즈 로프는 미국의 래퍼가 아니거나 싱어송라이터가 아니다.,아니다,아니다,,관형절,1991년 4월 8일에 태어나지 않은 데즈 로프는 미국의 래퍼이자 싱어송라이터이다.,1991년 4월 8일에 태어난,안 장형,,1991년 4월 8일에 태어난 데즈 로프는 미국의 비연예인이었다.,데즈 로프는 1991년 4월 8일생인 미국의 래퍼 겸 싱어송라이터다.,
7,280796,1985년 7월 1일 조지아 공산당 제1서기 예두아르트 셰바르드나제가 정치국원이 되었고 1985년 7월 2일 안드레이 그로미코를 해임한 후 셰바르드나제가 소련 외무부 장관이 되었다.,"1985년 7월 1일 조지아 공산당 제1서기 예두아르트 셰바르드나제가 정치국원이 되지 않았거나, 1985년 7월 2일 안드레이 그로미코를 해임한 후 셰바르드나제가 소련 외무부 장관이 되지 못했다.",안 장형,못 장형,,대등절 일부,1985년 7월 1일 조지아 공산당 제1서기 예두아르트 셰바르드나제가 정치국원이 되었고 1985년 7월 2일 안드레이 그로미코를 해임한 후 셰바르드나제가 소련 외무부 장관이 되지 못했다.,셰바르드나제가 소련 외무부 장관이 되었다,못 장형,,1985년 7월 1일 조지아 공산당 제1서기 예두아르트 셰바르드나제가 정치국 후보위원이 되었고 1985년 7월 2일 안드레이 그로미코가 셰바르드나제를 해임한 후 그로미코가 소련 외무부 장관이 되었다.,"예두아르트 셰바르드나제는 1985년 7월 1일에 정치국에 입성했고, 이튿날 안드레이 그로미코가 해임된 뒤 소련 외무장관으로 임명되었다.",
8,184690,"일본군의 공격으로 육박전이 벌어져 이종인이 일본군의 탄환에 맞아 죽었고, 김천일이 진주 촉석루에서 아들과 함께 목숨을 잃었다.","일본군의 공격으로 육박전이 벌어져 이종인이 일본군의 탄환에 맞아 죽지 않았거나, 김천일이 진주 촉석루에서 아들과 함께 목숨을 잃지 않았다.",안 장형,안 장형,,종속절,"일본군의 공격으로 육박전이 안 벌어져 이종인이 일본군의 탄환에 맞아 죽었고, 김천일이 진주 촉석루에서 아들과 함께 목숨을 잃었다.",일본군의 공격으로 육박전이 벌어져,안 단형,,"일본군의 공격으로 육박전이 벌어져 이종인이 일본군의 탄환을 뚫고 선두에서 생환했고, 김천일이 진주 촉석루에서 아들과 함께 무사히 귀환했다.","일본군이 공격해 백병전이 벌어졌고, 이종인은 일본군의 총탄에 맞아 숨졌으며 김천일은 진주 촉석루에서 아들과 함께 사망했다.",
9,457105,"네우역은 일본 돗토리현 히노 정에 위치한 서일본 여객철도 하쿠비 선의 지상역이며, 단선과 섬식 승강장을 결합한 2면 3선의 복합 구조를 가지고 있다.","네우역은 일본 돗토리현 히노 정에 위치한 서일본 여객철도 하쿠비 선의 지상역이 아니거나, 단선과 섬식 승강장을 결합한 2면 3선의 복합 구조를 가지고 있지 않다.",아니다,안 장형,,관형절,"네우역은 일본 돗토리현 히노 정에 위치한 서일본 여객철도 하쿠비 선의 지상역이며, 단선과 섬식 승강장을 결합하지 못한 2면 3선의 복합 구조를 가지고 있다.",단선과 섬식 승강장을 결합한,못 장형,,"네우역은 대한민국 서울특별시 종로구에 위치한 한국철도공사 경부선의 지하역이며, 상대식 승강장만 갖춘 1면 2선의 단일 구조를 가지고 있다.","네우역은 일본 돗토리현 히노정에 있는 JR 서일본 하쿠비선의 지상역으로, 단선형과 섬식 승강장이 결합되어 있는 2면 3선 구조다.",
10,317305,"소피아 코폴라는 영화 감독이자 각본가 및 프로듀서이며, 배우로 활동한 경력이 있다.",소피아 코폴라는 영화 감독이 아니거나 각본가나 프로듀서가 아니거나 배우로 활동한 경력이 없다.,아니다,아니다,어휘적,대등절 일부,"소피아 코폴라는 영화 감독이자 각본가 및 프로듀서이며, 배우로 활동한 경력이 없다.",배우로 활동한 경력이 있다,어휘적,,"소피아 코폴라는 영화 감독이자 각본가 및 프로듀서이며, 감독으로만 활동했다.","소피아 코폴라는 영화 감독 겸 시나리오 작가이자 제작자이고, 배우로 활동한 이력이 있다.",
11,902527,케이드 메츠가 한 시대의 종말을 의미한다고 평가한 이 모델은 여러 매체에서 출시 소식을 다뤘다.,케이드 메츠가 한 시대의 종말을 의미한다고 평가한 이 모델은 여러 매체에서 출시 소식을 안 다뤘다.,안 단형,,,인용절,케이드 메츠가 한 시대의 종말을 의미하지 않는다고 평가한 이 모델은 여러 매체에서 출시 소식을 다뤘다.,한 시대의 종말을 의미한다고,안 장형,,케이드 메츠가 한 시대의 개막을 의미한다고 평가한 이 모델은 딱 한 매체에서 출시 소식을 다뤘다.,"케이드 메츠는 이 모델을 한 시대의 끝으로 평가했으며, 출시 소식은 다양한 매체에서 보도됐다.",
12,775818,삼척도호부 관아지는 조선시대 지방 행정기관과 의례공간 건물군이 있던 곳이며 강원도 삼척시 성내동에 위치한다.,삼척도호부 관아지는 조선시대 지방 행정기관과 의례공간 건물군이 있던 곳이 아니거나 강원도 삼척시 성내동에 위치하지 않는다.,아니다,안 장형,,관형절,삼척도호부 관아지는 조선시대 지방 행정기관이나 의례공간 건물군이 없던 곳이며 강원도 삼척시 성내동에 위치한다.,조선시대 지방 행정기관과 의례공간 건물군이 있던,어휘적,,삼척도호부 관아지는 조선시대 지방 행정기관과 의례공간 건물군이 있던 곳이며 강원도에서는 찾을 수 없다.,강원도 삼척시 성내동에 자리한 삼척도호부 관아지는 조선 시대 지방 행정과 의례 관련 건물군이 있었던 터이다.,
13,450300,정읍 옥천사 소장 범종은 조선후기 1728년 주조되었고 2007년 전라북도 문화재자료로 지정되었다.,"정읍 옥천사 소장 범종은 조선후기 1728년 주조되지 못했거나, 2007년 전라북도 문화재자료로 지정되지 못했다.",못 장형,못 장형,,대등절 일부,정읍 옥천사 소장 범종은 조선후기 1728년 주조되었고 2007년 전라북도 문화재자료로 지정되지 못했다.,2007년 전라북도 문화재자료로 지정되었다,못 장형,,정읍 옥천사 소장 범종은 조선후기 1828년 주조되었고 2007년 경상북도 문화재자료로 지정되었다.,"정읍 옥천사 소장 범종은 1728년 조선 후기 때 만들어졌고, 2007년에 전라북도 문화재자료로 지정되었다.",
